City,Nation,"City,Nation",Latitude,Longitude
Carballo,Spain,"Carballo,Spain",43.2128129,-8.6915927
Barcelona,Spain,"Barcelona,Spain",41.3850639,2.1734035
Krasnodar,Russia,"Krasnodar,Russia",45.0392674,38.9872209
Luserna San Giovanni,Italy,"Luserna San Giovanni,Italy",44.8170347,7.2445882
Cascais,Portugal,"Cascais,Portugal",38.6967571,-9.4207438
A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401
Gijón,Spain,"Gijón,Spain",43.5322015,-5.6611195
A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401
Grüt (Gossau ZH),Swizerland,"Grüt (Gossau ZH),Swizerland",47.31,8.78436
Berlin,Germany,"Berlin,Germany",52.5200066,13.404954
A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401
Valencia,Spain,"Valencia,Spain",39.4699075,-0.3762881
Madrid,Spain,"Madrid,Spain",40.4167754,-3.7037902
Oviedo,Spain,"Oviedo,Spain",43.3619145,-5.8493887
A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401
Schiedam,Netherlands,"Schiedam,Netherlands",51.9169599,4.3988186
Nigran,Spain,"Nigran,Spain",42.1459862,-8.7811645
Berlin,Germany,"Berlin,Germany",52.5200066,13.404954
A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401
A Coruña ,Spain,"A Coruña ,Spain",43.3623436,-8.4115401
Santiago de Compostela,Spain,"Santiago de Compostela,Spain",42.8782132,-8.5448445
Alicante,Spain,"Alicante,Spain",38.3459963,-0.4906855
Barcelona,Spain,"Barcelona,Spain",41.3850639,2.1734035
A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401
Paris,France,"Paris,France",48.856614,2.3522219
Pontevedra,Spain,"Pontevedra,Spain",42.4298846,-8.6446202
San cristobal,Venezuela,"San cristobal,Venezuela",7.7713572,-72.2261466
La Tour-de-Peilz,Switzerland,"La Tour-de-Peilz,Switzerland",46.4533165,6.8612781
Bahir Dar,Ethiopia,"Bahir Dar,Ethiopia",11.5742086,37.3613533
Montpellier,France,"Montpellier,France",43.610769,3.876716
Granollers,Spain,"Granollers,Spain",41.6061927,2.2870889
A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401
Delft,Netherlands,"Delft,Netherlands",52.0115769,4.3570677
Meis,Spain,"Meis,Spain",42.5029514,-8.7150831
Lugo,Spain,"Lugo,Spain",43.0097384,-7.5567582
Nairobi,Kenya,"Nairobi,Kenya",-1.2920659,36.8219462
Évora,Portugal,"Évora,Portugal",38.571431,-7.913502
A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401
Sevilla,Spain,"Sevilla,Spain",37.3890924,-5.9844589
Delft,Netherlands,"Delft,Netherlands",52.0115769,4.3570677
Stanley,Falkland Islands,"Stanley,Falkland Islands",-51.6977129,-57.8516627
Lisbon,Lisbon,"Lisbon,Lisbon",38.7222524,-9.1393366
Leitza,Spain,"Leitza,Spain",43.0848145,-1.9160305
Aveiro,Portugual,"Aveiro,Portugual",40.6405055,-8.6537539
Atlanta ,United States ,"Atlanta ,United States ",33.7489954,-84.3879824
Lisbon,Portugal,"Lisbon,Portugal",38.7222524,-9.1393366
Braga,Portugal,"Braga,Portugal",41.5454486,-8.426507
A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401
A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401
A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401
Madrid,Spain,"Madrid,Spain",40.4167754,-3.7037902
Girona,Espanya,"Girona,Espanya",41.9794005,2.8214264
Santa Cruz de Tenerife,Spain,"Santa Cruz de Tenerife,Spain",28.4636296,-16.2518467
Sevilla,Spain,"Sevilla,Spain",37.3890924,-5.9844589
Kristianstad,Sweden,"Kristianstad,Sweden",56.0293936,14.1566779
London,UK,"London,UK",51.5073509,-0.1277583
Copenhagen,Denmark,"Copenhagen,Denmark",55.6760968,12.5683372
Valmiera,Latvia,"Valmiera,Latvia",57.5384659,25.4263618
Albuquerque,United States,"Albuquerque,United States",35.0843859,-106.650422
Barcelona,Spain,"Barcelona,Spain",41.3850639,2.1734035
Plymouth,Montserrat,"Plymouth,Montserrat",16.706523,-62.215738
Nødebo,Denmark,"Nødebo,Denmark",55.978672,12.346932
Valmiera,Latvia,"Valmiera,Latvia",57.5384659,25.4263618
Girona,Spain,"Girona,Spain",41.9794005,2.8214264
Girona,Girona,"Girona,Girona",41.9794005,2.8214264
London,United Kingdom,"London,United Kingdom",51.5073509,-0.1277583
A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401
Compostela,Spain,"Compostela,Spain",42.8782132,-8.5448445
caracas,Venezuela,"caracas,Venezuela",10.4805937,-66.9036063
Laax,Switzerland,"Laax,Switzerland",46.8091625,9.2607783
Vila Real,Portugal,"Vila Real,Portugal",41.3010351,-7.7422354
Lumino,Switzerland,"Lumino,Switzerland",46.2305658,9.0660027
Bratislava,Slovakia,"Bratislava,Slovakia",48.1485965,17.1077478
Brunico,Italy,"Brunico,Italy",46.7965736,11.9380416
Pavia,Italy,"Pavia,Italy",45.1847248,9.1582069
Bern,Switzerland,"Bern,Switzerland",46.9479739,7.4474468
Lublin,Polska,"Lublin,Polska",51.2464536,22.5684463
Addis Ababa,Ethiopia,"Addis Ababa,Ethiopia",8.9806034,38.7577605
Lagos,Nigeria,"Lagos,Nigeria",6.5243793,3.3792057
Lisbon,Portugal,"Lisbon,Portugal",38.7222524,-9.1393366
Girona,Spain,"Girona,Spain",41.9794005,2.8214264
Granollers,Spain,"Granollers,Spain",41.6061927,2.2870889
Braga,Portugal,"Braga,Portugal",41.5454486,-8.426507
Belmonte,Portugal,"Belmonte,Portugal",40.351063,-7.3408535
Istanbul,Turkey,"Istanbul,Turkey",41.0082376,28.9783589
Ponferrada,Spain,"Ponferrada,Spain",42.5499958,-6.598259
Pavia,Italy,"Pavia,Italy",45.1847248,9.1582069
Lodwar,Kenya,"Lodwar,Kenya",3.1155165,35.6040785
Braga,Portugal,"Braga,Portugal",41.5454486,-8.426507
Kathmandu,Nepal,"Kathmandu,Nepal",27.7172453,85.3239605
Litomysl,Czech Republic,"Litomysl,Czech Republic",49.8705226,16.3110622
tagnger,Maroc,"tagnger,Maroc",35.7594651,-5.8339543
Poznan,Poland,"Poznan,Poland",52.406374,16.9251681
s-Hertogenbosch,Netherlands,"s-Hertogenbosch,Netherlands",51.6978162,5.3036748
Le Sappey en Chartreuse,France,"Le Sappey en Chartreuse,France",45.259823,5.776765
Haarlem,Netherlands,"Haarlem,Netherlands",52.3873878,4.6462194
Madrid,Spain,"Madrid,Spain",40.4167754,-3.7037902
Enschede,Netherlands,"Enschede,Netherlands",52.2215372,6.8936619
Lisbon,Portugal,"Lisbon,Portugal",38.7222524,-9.1393366
ALmadinah Almunawarah,Saudi Arabia ,"ALmadinah Almunawarah,Saudi Arabia ",24.5246542,39.5691841
Turku,Finland,"Turku,Finland",60.4518126,22.2666302
Lima,Peru,"Lima,Peru",-12.0463731,-77.042754
Barcelona,Spain,"Barcelona,Spain",41.3850639,2.1734035
A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401
Ciudad de México,México,"Ciudad de México,México",19.4326077,-99.133208
Santander,Spain,"Santander,Spain",43.4623057,-3.8099803
Leeds,UK,"Leeds,UK",53.8007554,-1.5490774
Freiburg,Germany,"Freiburg,Germany",47.9990077,7.8421043
Lisbon,Portugal,"Lisbon,Portugal",38.7222524,-9.1393366
Helsinki,Finland,"Helsinki,Finland",60.1698557,24.9383791
Ramnicu Valcea,Romania,"Ramnicu Valcea,Romania",45.0996753,24.3693179
Bangalore,India,"Bangalore,India",12.9715987,77.5945627
Logroño,Spain,"Logroño,Spain",42.4627195,-2.4449852
A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401
Lleida/Edinburgh,Spain/UK,"Lleida/Edinburgh,Spain/UK",41.6175899,0.6200146
Granollers,Spain,"Granollers,Spain",41.6061927,2.2870889
