fid,City,Nation,"City,Nation",Latitude,Longitude,cucu,wkt
"1",Carballo,Spain,"Carballo,Spain",43.2128129,-8.6915927,"1","LINESTRING (-8.4115401 43.3623436 ,-8.6915927 43.2128129)"
"2",Barcelona,Spain,"Barcelona,Spain",41.3850639,2.1734035,"1","LINESTRING (-8.4115401 43.3623436 ,2.1734035 41.3850639)"
"3",Krasnodar,Russia,"Krasnodar,Russia",45.0392674,38.9872209,"1","LINESTRING (-8.4115401 43.3623436 ,38.9872209 45.0392674)"
"4",Luserna San Giovanni,Italy,"Luserna San Giovanni,Italy",44.8170347,7.2445882,"1","LINESTRING (-8.4115401 43.3623436 ,7.2445882 44.8170347)"
"5",Cascais,Portugal,"Cascais,Portugal",38.6967571,-9.4207438,"1","LINESTRING (-8.4115401 43.3623436 ,-9.4207438 38.6967571)"
"6",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"7",Gijón,Spain,"Gijón,Spain",43.5322015,-5.6611195,"1","LINESTRING (-8.4115401 43.3623436 ,-5.6611195 43.5322015)"
"8",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"9",Grüt (Gossau ZH),Swizerland,"Grüt (Gossau ZH),Swizerland",47.31,8.78436,"1","LINESTRING (-8.4115401 43.3623436 ,8.78436 47.31)"
"10",Berlin,Germany,"Berlin,Germany",52.5200066,13.404954,"1","LINESTRING (-8.4115401 43.3623436 ,13.404954 52.5200066)"
"11",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"12",Valencia,Spain,"Valencia,Spain",39.4699075,-0.3762881,"1","LINESTRING (-8.4115401 43.3623436 ,-0.3762881 39.4699075)"
"13",Madrid,Spain,"Madrid,Spain",40.4167754,-3.7037902,"1","LINESTRING (-8.4115401 43.3623436 ,-3.7037902 40.4167754)"
"14",Oviedo,Spain,"Oviedo,Spain",43.3619145,-5.8493887,"1","LINESTRING (-8.4115401 43.3623436 ,-5.8493887 43.3619145)"
"15",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"16",Schiedam,Netherlands,"Schiedam,Netherlands",51.9169599,4.3988186,"1","LINESTRING (-8.4115401 43.3623436 ,4.3988186 51.9169599)"
"17",Nigran,Spain,"Nigran,Spain",42.1459862,-8.7811645,"1","LINESTRING (-8.4115401 43.3623436 ,-8.7811645 42.1459862)"
"18",Berlin,Germany,"Berlin,Germany",52.5200066,13.404954,"1","LINESTRING (-8.4115401 43.3623436 ,13.404954 52.5200066)"
"19",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"20",A Coruña ,Spain,"A Coruña ,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"21",Santiago de Compostela,Spain,"Santiago de Compostela,Spain",42.8782132,-8.5448445,"1","LINESTRING (-8.4115401 43.3623436 ,-8.5448445 42.8782132)"
"22",Alicante,Spain,"Alicante,Spain",38.3459963,-0.4906855,"1","LINESTRING (-8.4115401 43.3623436 ,-0.4906855 38.3459963)"
"23",Barcelona,Spain,"Barcelona,Spain",41.3850639,2.1734035,"1","LINESTRING (-8.4115401 43.3623436 ,2.1734035 41.3850639)"
"24",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"25",Paris,France,"Paris,France",48.856614,2.3522219,"1","LINESTRING (-8.4115401 43.3623436 ,2.3522219 48.856614)"
"26",Pontevedra,Spain,"Pontevedra,Spain",42.4298846,-8.6446202,"1","LINESTRING (-8.4115401 43.3623436 ,-8.6446202 42.4298846)"
"27",San cristobal,Venezuela,"San cristobal,Venezuela",7.7713572,-72.2261466,"1","LINESTRING (-8.4115401 43.3623436 ,-72.2261466 7.7713572)"
"28",La Tour-de-Peilz,Switzerland,"La Tour-de-Peilz,Switzerland",46.4533165,6.8612781,"1","LINESTRING (-8.4115401 43.3623436 ,6.8612781 46.4533165)"
"29",Bahir Dar,Ethiopia,"Bahir Dar,Ethiopia",11.5742086,37.3613533,"1","LINESTRING (-8.4115401 43.3623436 ,37.3613533 11.5742086)"
"30",Montpellier,France,"Montpellier,France",43.610769,3.876716,"1","LINESTRING (-8.4115401 43.3623436 ,3.876716 43.610769)"
"31",Granollers,Spain,"Granollers,Spain",41.6061927,2.2870889,"1","LINESTRING (-8.4115401 43.3623436 ,2.2870889 41.6061927)"
"32",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"33",Delft,Netherlands,"Delft,Netherlands",52.0115769,4.3570677,"1","LINESTRING (-8.4115401 43.3623436 ,4.3570677 52.0115769)"
"34",Meis,Spain,"Meis,Spain",42.5029514,-8.7150831,"1","LINESTRING (-8.4115401 43.3623436 ,-8.7150831 42.5029514)"
"35",Lugo,Spain,"Lugo,Spain",43.0097384,-7.5567582,"1","LINESTRING (-8.4115401 43.3623436 ,-7.5567582 43.0097384)"
"36",Nairobi,Kenya,"Nairobi,Kenya",-1.2920659,36.8219462,"1","LINESTRING (-8.4115401 43.3623436 ,36.8219462 -1.2920659)"
"37",Évora,Portugal,"Évora,Portugal",38.571431,-7.913502,"1","LINESTRING (-8.4115401 43.3623436 ,-7.913502 38.571431)"
"38",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"39",Sevilla,Spain,"Sevilla,Spain",37.3890924,-5.9844589,"1","LINESTRING (-8.4115401 43.3623436 ,-5.9844589 37.3890924)"
"40",Delft,Netherlands,"Delft,Netherlands",52.0115769,4.3570677,"1","LINESTRING (-8.4115401 43.3623436 ,4.3570677 52.0115769)"
"41",Stanley,Falkland Islands,"Stanley,Falkland Islands",-51.6977129,-57.8516627,"1","LINESTRING (-8.4115401 43.3623436 ,-57.8516627 -51.6977129)"
"42",Lisbon,Lisbon,"Lisbon,Lisbon",38.7222524,-9.1393366,"1","LINESTRING (-8.4115401 43.3623436 ,-9.1393366 38.7222524)"
"43",Leitza,Spain,"Leitza,Spain",43.0848145,-1.9160305,"1","LINESTRING (-8.4115401 43.3623436 ,-1.9160305 43.0848145)"
"44",Aveiro,Portugual,"Aveiro,Portugual",40.6405055,-8.6537539,"1","LINESTRING (-8.4115401 43.3623436 ,-8.6537539 40.6405055)"
"45",Atlanta ,United States ,"Atlanta ,United States ",33.7489954,-84.3879824,"1","LINESTRING (-8.4115401 43.3623436 ,-84.3879824 33.7489954)"
"46",Lisbon,Portugal,"Lisbon,Portugal",38.7222524,-9.1393366,"1","LINESTRING (-8.4115401 43.3623436 ,-9.1393366 38.7222524)"
"47",Braga,Portugal,"Braga,Portugal",41.5454486,-8.426507,"1","LINESTRING (-8.4115401 43.3623436 ,-8.426507 41.5454486)"
"48",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"49",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"50",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"51",Madrid,Spain,"Madrid,Spain",40.4167754,-3.7037902,"1","LINESTRING (-8.4115401 43.3623436 ,-3.7037902 40.4167754)"
"52",Girona,Espanya,"Girona,Espanya",41.9794005,2.8214264,"1","LINESTRING (-8.4115401 43.3623436 ,2.8214264 41.9794005)"
"53",Santa Cruz de Tenerife,Spain,"Santa Cruz de Tenerife,Spain",28.4636296,-16.2518467,"1","LINESTRING (-8.4115401 43.3623436 ,-16.2518467 28.4636296)"
"54",Sevilla,Spain,"Sevilla,Spain",37.3890924,-5.9844589,"1","LINESTRING (-8.4115401 43.3623436 ,-5.9844589 37.3890924)"
"55",Kristianstad,Sweden,"Kristianstad,Sweden",56.0293936,14.1566779,"1","LINESTRING (-8.4115401 43.3623436 ,14.1566779 56.0293936)"
"56",London,UK,"London,UK",51.5073509,-0.1277583,"1","LINESTRING (-8.4115401 43.3623436 ,-0.1277583 51.5073509)"
"57",Copenhagen,Denmark,"Copenhagen,Denmark",55.6760968,12.5683372,"1","LINESTRING (-8.4115401 43.3623436 ,12.5683372 55.6760968)"
"58",Valmiera,Latvia,"Valmiera,Latvia",57.5384659,25.4263618,"1","LINESTRING (-8.4115401 43.3623436 ,25.4263618 57.5384659)"
"59",Albuquerque,United States,"Albuquerque,United States",35.0843859,-106.650422,"1","LINESTRING (-8.4115401 43.3623436 ,-106.650422 35.0843859)"
"60",Barcelona,Spain,"Barcelona,Spain",41.3850639,2.1734035,"1","LINESTRING (-8.4115401 43.3623436 ,2.1734035 41.3850639)"
"61",Plymouth,Montserrat,"Plymouth,Montserrat",16.706523,-62.215738,"1","LINESTRING (-8.4115401 43.3623436 ,-62.215738 16.706523)"
"62",Nødebo,Denmark,"Nødebo,Denmark",55.978672,12.346932,"1","LINESTRING (-8.4115401 43.3623436 ,12.346932 55.978672)"
"63",Valmiera,Latvia,"Valmiera,Latvia",57.5384659,25.4263618,"1","LINESTRING (-8.4115401 43.3623436 ,25.4263618 57.5384659)"
"64",Girona,Spain,"Girona,Spain",41.9794005,2.8214264,"1","LINESTRING (-8.4115401 43.3623436 ,2.8214264 41.9794005)"
"65",Girona,Girona,"Girona,Girona",41.9794005,2.8214264,"1","LINESTRING (-8.4115401 43.3623436 ,2.8214264 41.9794005)"
"66",London,United Kingdom,"London,United Kingdom",51.5073509,-0.1277583,"1","LINESTRING (-8.4115401 43.3623436 ,-0.1277583 51.5073509)"
"67",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"68",Compostela,Spain,"Compostela,Spain",42.8782132,-8.5448445,"1","LINESTRING (-8.4115401 43.3623436 ,-8.5448445 42.8782132)"
"69",caracas,Venezuela,"caracas,Venezuela",10.4805937,-66.9036063,"1","LINESTRING (-8.4115401 43.3623436 ,-66.9036063 10.4805937)"
"70",Laax,Switzerland,"Laax,Switzerland",46.8091625,9.2607783,"1","LINESTRING (-8.4115401 43.3623436 ,9.2607783 46.8091625)"
"71",Vila Real,Portugal,"Vila Real,Portugal",41.3010351,-7.7422354,"1","LINESTRING (-8.4115401 43.3623436 ,-7.7422354 41.3010351)"
"72",Lumino,Switzerland,"Lumino,Switzerland",46.2305658,9.0660027,"1","LINESTRING (-8.4115401 43.3623436 ,9.0660027 46.2305658)"
"73",Bratislava,Slovakia,"Bratislava,Slovakia",48.1485965,17.1077478,"1","LINESTRING (-8.4115401 43.3623436 ,17.1077478 48.1485965)"
"74",Brunico,Italy,"Brunico,Italy",46.7965736,11.9380416,"1","LINESTRING (-8.4115401 43.3623436 ,11.9380416 46.7965736)"
"75",Pavia,Italy,"Pavia,Italy",45.1847248,9.1582069,"1","LINESTRING (-8.4115401 43.3623436 ,9.1582069 45.1847248)"
"76",Bern,Switzerland,"Bern,Switzerland",46.9479739,7.4474468,"1","LINESTRING (-8.4115401 43.3623436 ,7.4474468 46.9479739)"
"77",Lublin,Polska,"Lublin,Polska",51.2464536,22.5684463,"1","LINESTRING (-8.4115401 43.3623436 ,22.5684463 51.2464536)"
"78",Addis Ababa,Ethiopia,"Addis Ababa,Ethiopia",8.9806034,38.7577605,"1","LINESTRING (-8.4115401 43.3623436 ,38.7577605 8.9806034)"
"79",Lagos,Nigeria,"Lagos,Nigeria",6.5243793,3.3792057,"1","LINESTRING (-8.4115401 43.3623436 ,3.3792057 6.5243793)"
"80",Lisbon,Portugal,"Lisbon,Portugal",38.7222524,-9.1393366,"1","LINESTRING (-8.4115401 43.3623436 ,-9.1393366 38.7222524)"
"81",Girona,Spain,"Girona,Spain",41.9794005,2.8214264,"1","LINESTRING (-8.4115401 43.3623436 ,2.8214264 41.9794005)"
"82",Granollers,Spain,"Granollers,Spain",41.6061927,2.2870889,"1","LINESTRING (-8.4115401 43.3623436 ,2.2870889 41.6061927)"
"83",Braga,Portugal,"Braga,Portugal",41.5454486,-8.426507,"1","LINESTRING (-8.4115401 43.3623436 ,-8.426507 41.5454486)"
"84",Belmonte,Portugal,"Belmonte,Portugal",40.351063,-7.3408535,"1","LINESTRING (-8.4115401 43.3623436 ,-7.3408535 40.351063)"
"85",Istanbul,Turkey,"Istanbul,Turkey",41.0082376,28.9783589,"1","LINESTRING (-8.4115401 43.3623436 ,28.9783589 41.0082376)"
"86",Ponferrada,Spain,"Ponferrada,Spain",42.5499958,-6.598259,"1","LINESTRING (-8.4115401 43.3623436 ,-6.598259 42.5499958)"
"87",Pavia,Italy,"Pavia,Italy",45.1847248,9.1582069,"1","LINESTRING (-8.4115401 43.3623436 ,9.1582069 45.1847248)"
"88",Lodwar,Kenya,"Lodwar,Kenya",3.1155165,35.6040785,"1","LINESTRING (-8.4115401 43.3623436 ,35.6040785 3.1155165)"
"89",Braga,Portugal,"Braga,Portugal",41.5454486,-8.426507,"1","LINESTRING (-8.4115401 43.3623436 ,-8.426507 41.5454486)"
"90",Kathmandu,Nepal,"Kathmandu,Nepal",27.7172453,85.3239605,"1","LINESTRING (-8.4115401 43.3623436 ,85.3239605 27.7172453)"
"91",Litomysl,Czech Republic,"Litomysl,Czech Republic",49.8705226,16.3110622,"1","LINESTRING (-8.4115401 43.3623436 ,16.3110622 49.8705226)"
"92",tagnger,Maroc,"tagnger,Maroc",35.7594651,-5.8339543,"1","LINESTRING (-8.4115401 43.3623436 ,-5.8339543 35.7594651)"
"93",Poznan,Poland,"Poznan,Poland",52.406374,16.9251681,"1","LINESTRING (-8.4115401 43.3623436 ,16.9251681 52.406374)"
"94",s-Hertogenbosch,Netherlands,"s-Hertogenbosch,Netherlands",51.6978162,5.3036748,"1","LINESTRING (-8.4115401 43.3623436 ,5.3036748 51.6978162)"
"95",Le Sappey en Chartreuse,France,"Le Sappey en Chartreuse,France",45.259823,5.776765,"1","LINESTRING (-8.4115401 43.3623436 ,5.776765 45.259823)"
"96",Haarlem,Netherlands,"Haarlem,Netherlands",52.3873878,4.6462194,"1","LINESTRING (-8.4115401 43.3623436 ,4.6462194 52.3873878)"
"97",Madrid,Spain,"Madrid,Spain",40.4167754,-3.7037902,"1","LINESTRING (-8.4115401 43.3623436 ,-3.7037902 40.4167754)"
"98",Enschede,Netherlands,"Enschede,Netherlands",52.2215372,6.8936619,"1","LINESTRING (-8.4115401 43.3623436 ,6.8936619 52.2215372)"
"99",Lisbon,Portugal,"Lisbon,Portugal",38.7222524,-9.1393366,"1","LINESTRING (-8.4115401 43.3623436 ,-9.1393366 38.7222524)"
"100",ALmadinah Almunawarah,Saudi Arabia ,"ALmadinah Almunawarah,Saudi Arabia ",24.5246542,39.5691841,"1","LINESTRING (-8.4115401 43.3623436 ,39.5691841 24.5246542)"
"101",Turku,Finland,"Turku,Finland",60.4518126,22.2666302,"1","LINESTRING (-8.4115401 43.3623436 ,22.2666302 60.4518126)"
"102",Lima,Peru,"Lima,Peru",-12.0463731,-77.042754,"1","LINESTRING (-8.4115401 43.3623436 ,-77.042754 -12.0463731)"
"103",Barcelona,Spain,"Barcelona,Spain",41.3850639,2.1734035,"1","LINESTRING (-8.4115401 43.3623436 ,2.1734035 41.3850639)"
"104",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"105",Ciudad de México,México,"Ciudad de México,México",19.4326077,-99.133208,"1","LINESTRING (-8.4115401 43.3623436 ,-99.133208 19.4326077)"
"106",Santander,Spain,"Santander,Spain",43.4623057,-3.8099803,"1","LINESTRING (-8.4115401 43.3623436 ,-3.8099803 43.4623057)"
"107",Leeds,UK,"Leeds,UK",53.8007554,-1.5490774,"1","LINESTRING (-8.4115401 43.3623436 ,-1.5490774 53.8007554)"
"108",Freiburg,Germany,"Freiburg,Germany",47.9990077,7.8421043,"1","LINESTRING (-8.4115401 43.3623436 ,7.8421043 47.9990077)"
"109",Lisbon,Portugal,"Lisbon,Portugal",38.7222524,-9.1393366,"1","LINESTRING (-8.4115401 43.3623436 ,-9.1393366 38.7222524)"
"110",Helsinki,Finland,"Helsinki,Finland",60.1698557,24.9383791,"1","LINESTRING (-8.4115401 43.3623436 ,24.9383791 60.1698557)"
"111",Ramnicu Valcea,Romania,"Ramnicu Valcea,Romania",45.0996753,24.3693179,"1","LINESTRING (-8.4115401 43.3623436 ,24.3693179 45.0996753)"
"112",Bangalore,India,"Bangalore,India",12.9715987,77.5945627,"1","LINESTRING (-8.4115401 43.3623436 ,77.5945627 12.9715987)"
"113",Logroño,Spain,"Logroño,Spain",42.4627195,-2.4449852,"1","LINESTRING (-8.4115401 43.3623436 ,-2.4449852 42.4627195)"
"114",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"115",Lleida/Edinburgh,Spain/UK,"Lleida/Edinburgh,Spain/UK",41.6175899,0.6200146,"1","LINESTRING (-8.4115401 43.3623436 ,0.6200146 41.6175899)"
"116",Granollers,Spain,"Granollers,Spain",41.6061927,2.2870889,"1","LINESTRING (-8.4115401 43.3623436 ,2.2870889 41.6061927)"
